,Edu,MMSE,Live,BADL1,BADL2,BADL3,BADL4,BADL5,BADL8,BADL9,IADL1,IADL2,IADL3,IADL4,IADL5,IADL6,IADL7,IADL8,PSP,CGIS,SFST1,SFST2,SFST3,SFST4,SFST5,SFST6,SFST7
Edu,1,0.290828572,-0.071614748,0.018490957,0.091634947,0.021011077,0.091634947,0.038733678,0.140154322,0.099083085,-0.282805317,-0.170163626,-0.163307188,-0.19081649,-0.187755593,-0.036298894,-0.070210947,-0.233967656,0.220309788,-0.150346017,0.127026443,0.205553472,0.143296446,0.263532785,0.197140555,0.113365224,0.242600224
MMSE,0.290828572,1,0.016983332,0.211535156,0.281188653,-0.054575196,0.265095764,0.238062939,0.24990065,0.095091593,-0.492453776,-0.194382372,-0.156948365,-0.173481326,-0.239092025,-0.090715278,-0.194172957,-0.189516841,0.065847451,0.008426723,-0.118090821,0.186557273,0.013094766,0.346526545,0.068008226,0.289767699,0.193671184
Live,-0.071614748,0.016983332,1,-0.027269182,0.077730437,0.046296585,0.077730437,0.116472196,0.048823164,-0.672856882,0.039751153,0.004092555,-0.115340354,-0.020857896,-0.097331047,0.08775615,0.336876346,0.137704615,-0.391747796,0.479695064,-0.200018701,-0.071937982,0.008408276,0.053625886,0.101761673,0.151521466,-0.234890403
BADL1,0.018490957,0.211535156,-0.027269182,1,0.547663761,0.098424114,0.547663761,0.391386444,0.343992377,0.097994981,-0.134063807,-0.074846302,-0.076963233,-0.092229914,-0.183883311,0.03203944,-0.133714236,-0.204433399,0.128081909,0.039573907,0.027714811,0.032928024,-0.038291189,0.072298195,-0.065954244,0.210596093,0.127645068
BADL2,0.091634947,0.281188653,0.077730437,0.547663761,1,0.189343354,0.79537037,0.536286639,0.628108707,0.028790853,-0.210993262,-0.178932166,-0.126425645,-0.048020169,-0.141356171,0.028573907,-0.143451723,-0.079269974,0.062277677,0.064838274,-0.012427282,0.005418151,-0.117819347,0.051502622,-0.027263541,0.274769908,0.09630404
BADL3,0.021011077,-0.054575196,0.046296585,0.098424114,0.189343354,1,0.189343354,0.170724522,-0.008659821,0.017147957,-0.004654389,0.004786957,-0.098245165,-0.028601021,-0.03924909,0.017018743,-0.037393793,-0.04721354,0.001337857,0.009289543,-0.007401743,0.068602216,0.013357831,0.026553455,0.022187785,0.137759399,0.055966633
BADL4,0.091634947,0.265095764,0.077730437,0.547663761,0.79537037,0.189343354,1,0.723520995,0.628108707,0.062279161,-0.210993262,-0.122841373,-0.126425645,-0.082253902,-0.141356171,0.028573907,-0.191852991,-0.079269974,-0.003526039,0.123928001,-0.012427282,-0.000568906,-0.184755274,-0.000399245,-0.039886256,0.3058245,0.124358999
BADL5,0.038733678,0.238062939,0.116472196,0.391386444,0.536286639,0.170724522,0.723520995,1,0.278044543,0.077574333,-0.231668429,-0.145143082,-0.15467647,-0.084049223,-0.196633809,0.031373856,-0.20179526,-0.087037616,0.091196608,0.017125165,0.009012802,0.060730127,-0.12411479,0.053699963,-0.028395131,0.316470167,0.157722689
BADL8,0.140154322,0.24990065,0.048823164,0.343992377,0.628108707,-0.008659821,0.628108707,0.278044543,1,-0.087087704,-0.132526705,-0.112388851,-0.043112462,0.023594379,-0.159881014,0.01794752,0.061903014,-0.049790161,-0.034845173,0.040725485,-0.007805684,-0.053004648,-0.183615565,-0.075230804,-0.097730246,0.272064237,0.007624715
BADL9,0.099083085,0.095091593,-0.672856882,0.097994981,0.028790853,0.017147957,0.062279161,0.077574333,-0.087087704,1,-0.201423468,-0.190525334,-0.087220956,-0.136360386,-0.079810229,-0.125965497,-0.696853146,-0.310374015,0.523281007,-0.523056451,0.151032082,0.08928163,-0.013549464,0.126461258,-0.006166088,0.065537198,0.36282194
IADL1,-0.282805317,-0.492453776,0.039751153,-0.134063807,-0.210993262,-0.004654389,-0.210993262,-0.231668429,-0.132526705,-0.201423468,1,0.440832139,0.252239738,0.388281781,0.222003225,0.236935842,0.292784595,0.29043218,-0.220929446,0.124562512,5.16E-05,-0.216337898,-0.022019875,-0.324901139,-0.150494968,-0.330165253,-0.270632083
IADL2,-0.170163626,-0.194382372,0.004092555,-0.074846302,-0.178932166,0.004786957,-0.122841373,-0.145143082,-0.112388851,-0.190525334,0.440832139,1,0.403990608,0.332593051,0.3593361,0.329057058,0.270927356,0.305286851,-0.284525831,0.185349574,-0.086188212,-0.219054126,-0.04025945,-0.343959312,-0.257568923,-0.438959345,-0.431016013
IADL3,-0.163307188,-0.156948365,-0.115340354,-0.076963233,-0.126425645,-0.098245165,-0.126425645,-0.15467647,-0.043112462,-0.087220956,0.252239738,0.403990608,1,0.500503833,0.424701077,0.084726913,0.189719292,0.259674415,-0.311693519,0.179742321,-0.093428941,-0.285730569,-0.208261657,-0.342692213,-0.31551333,-0.345497259,-0.395295999
IADL4,-0.19081649,-0.173481326,-0.020857896,-0.092229914,-0.048020169,-0.028601021,-0.082253902,-0.084049223,0.023594379,-0.136360386,0.388281781,0.332593051,0.500503833,1,0.312706351,0.164920433,0.269227463,0.335517349,-0.418692522,0.282787324,-0.092817004,-0.164042134,-0.168905544,-0.269305919,-0.178474682,-0.209086596,-0.350883085
IADL5,-0.187755593,-0.239092025,-0.097331047,-0.183883311,-0.141356171,-0.03924909,-0.141356171,-0.196633809,-0.159881014,-0.079810229,0.222003225,0.3593361,0.424701077,0.312706351,1,0.157024329,0.173475014,0.256942402,-0.177852736,0.108317215,-0.075390195,-0.145742024,-0.051341222,-0.143454804,-0.136510958,-0.31218876,-0.256407074
IADL6,-0.036298894,-0.090715278,0.08775615,0.03203944,0.028573907,0.017018743,0.028573907,0.031373856,0.01794752,-0.125965497,0.236935842,0.329057058,0.084726913,0.164920433,0.157024329,1,0.121063731,0.137601962,-0.062446523,0.068123338,0.097836661,-0.099067868,-0.022766,-0.204522505,-0.126055312,-0.180089699,-0.135380771
IADL7,-0.070210947,-0.194172957,0.336876346,-0.133714236,-0.143451723,-0.037393793,-0.191852991,-0.20179526,0.061903014,-0.696853146,0.292784595,0.270927356,0.189719292,0.269227463,0.173475014,0.121063731,1,0.337496634,-0.460118319,0.394821926,-0.077545761,-0.214244971,-0.006145684,-0.270836382,-0.106853464,-0.185568803,-0.400895863
IADL8,-0.233967656,-0.189516841,0.137704615,-0.204433399,-0.079269974,-0.04721354,-0.079269974,-0.087037616,-0.049790161,-0.310374015,0.29043218,0.305286851,0.259674415,0.335517349,0.256942402,0.137601962,0.337496634,1,-0.523978734,0.333626655,-0.189935731,-0.219636006,-0.069269659,-0.237651556,-0.169432304,-0.257321939,-0.362855518
PSP,0.220309788,0.065847451,-0.391747796,0.128081909,0.062277677,0.001337857,-0.003526039,0.091196608,-0.034845173,0.523281007,-0.220929446,-0.284525831,-0.311693519,-0.418692522,-0.177852736,-0.062446523,-0.460118319,-0.523978734,1,-0.758694797,0.275292125,0.20622294,0.121803206,0.212082046,0.1564326,0.128367806,0.399459668
CGIS,-0.150346017,0.008426723,0.479695064,0.039573907,0.064838274,0.009289543,0.123928001,0.017125165,0.040725485,-0.523056451,0.124562512,0.185349574,0.179742321,0.282787324,0.108317215,0.068123338,0.394821926,0.333626655,-0.758694797,1,-0.246341068,-0.126687011,-0.045791662,-0.095400598,-0.027395145,-0.008476478,-0.28919196
SFST1,0.127026443,-0.118090821,-0.200018701,0.027714811,-0.012427282,-0.007401743,-0.012427282,0.009012802,-0.007805684,0.151032082,5.16E-05,-0.086188212,-0.093428941,-0.092817004,-0.075390195,0.097836661,-0.077545761,-0.189935731,0.275292125,-0.246341068,1,0.182126926,0.167117504,0.046526318,0.208269461,-0.018974347,0.216120948
SFST2,0.205553472,0.186557273,-0.071937982,0.032928024,0.005418151,0.068602216,-0.000568906,0.060730127,-0.053004648,0.08928163,-0.216337898,-0.219054126,-0.285730569,-0.164042134,-0.145742024,-0.099067868,-0.214244971,-0.219636006,0.20622294,-0.126687011,0.182126926,1,0.60544879,0.616319238,0.570695609,0.178099556,0.464725294
SFST3,0.143296446,0.013094766,0.008408276,-0.038291189,-0.117819347,0.013357831,-0.184755274,-0.12411479,-0.183615565,-0.013549464,-0.022019875,-0.04025945,-0.208261657,-0.168905544,-0.051341222,-0.022766,-0.006145684,-0.069269659,0.121803206,-0.045791662,0.167117504,0.60544879,1,0.407450682,0.663956453,0.009160106,0.292636404
SFST4,0.263532785,0.346526545,0.053625886,0.072298195,0.051502622,0.026553455,-0.000399245,0.053699963,-0.075230804,0.126461258,-0.324901139,-0.343959312,-0.342692213,-0.269305919,-0.143454804,-0.204522505,-0.270836382,-0.237651556,0.212082046,-0.095400598,0.046526318,0.616319238,0.407450682,1,0.532015831,0.403586267,0.554779708
SFST5,0.197140555,0.068008226,0.101761673,-0.065954244,-0.027263541,0.022187785,-0.039886256,-0.028395131,-0.097730246,-0.006166088,-0.150494968,-0.257568923,-0.31551333,-0.178474682,-0.136510958,-0.126055312,-0.106853464,-0.169432304,0.1564326,-0.027395145,0.208269461,0.570695609,0.663956453,0.532015831,1,0.258187292,0.464163887
SFST6,0.113365224,0.289767699,0.151521466,0.210596093,0.274769908,0.137759399,0.3058245,0.316470167,0.272064237,0.065537198,-0.330165253,-0.438959345,-0.345497259,-0.209086596,-0.31218876,-0.180089699,-0.185568803,-0.257321939,0.128367806,-0.008476478,-0.018974347,0.178099556,0.009160106,0.403586267,0.258187292,1,0.503619187
SFST7,0.242600224,0.193671184,-0.234890403,0.127645068,0.09630404,0.055966633,0.124358999,0.157722689,0.007624715,0.36282194,-0.270632083,-0.431016013,-0.395295999,-0.350883085,-0.256407074,-0.135380771,-0.400895863,-0.362855518,0.399459668,-0.28919196,0.216120948,0.464725294,0.292636404,0.554779708,0.464163887,0.503619187,1