,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
Edu,6.375565611,1.623447586,6,6.514124294,1.4826,1,10,9,-0.697967547,1.059189122,0.109204902
MMSE,26.38914027,3.790259008,28,26.97740113,2.9652,14,30,16,-1.241904351,0.82671666,0.254960412
Live,2.457013575,0.896563208,2,2.367231638,0,1,4,3,0.976000209,-0.593911613,0.060309368
BADL1,3.954751131,0.265839248,4,4,0,1,4,3,-7.675716207,71.32871241,0.017882283
BADL2,3.977375566,0.149040535,4,4,0,3,4,1,-6.376996641,38.84190271,0.010025551
BADL3,3.986425339,0.15014048,4,4,0,2,4,2,-11.76177582,144.0763713,0.010099542
BADL4,3.977375566,0.149040535,4,4,0,3,4,1,-6.376996641,38.84190271,0.010025551
BADL5,3.972850679,0.162887358,4,4,0,3,4,1,-5.779590142,31.54646774,0.010956989
BADL6,4,0,4,4,0,4,4,0,NA,NA,0
BADL7,4,0,4,4,0,4,4,0,NA,NA,0
BADL8,3.990950226,0.094913847,4,4,0,3,4,1,-10.29836521,104.529371,0.006384596
BADL9,2.343891403,1.821418345,3,2.429378531,1.4826,0,4,4,-0.338445077,-1.75482547,0.122521857
IADL1,1.307692308,0.500349528,1,1.237288136,0,1,3,2,1.254268869,0.465281436,0.033657152
IADL2,1.36199095,0.543727555,1,1.288135593,0,1,3,2,1.150860946,0.306544941,0.036575073
IADL3,2.524886878,1.055533304,3,2.531073446,1.4826,1,4,3,-0.21519228,-1.20121221,0.071002854
IADL4,1.719457014,0.890878869,2,1.553672316,1.4826,1,5,4,1.534834142,2.555046146,0.059926998
IADL5,1.375565611,0.673619984,1,1.220338983,0,1,3,2,1.522045017,0.860319051,0.045312584
IADL6,1.07239819,0.386367871,1,1,0,1,4,3,5.396181352,28.88743071,0.025989916
IADL7,1.407239819,0.630109717,1,1.288135593,0,1,3,2,1.2725573,0.455753663,0.042385766
IADL8,1.692307692,0.591903413,2,1.655367232,0,1,3,2,0.209162346,-0.639452052,0.039815732
PSP,63.79638009,8.805947655,63,63.84180791,10.3782,41,85,44,-0.021283864,-0.258315932,0.592352141
CGIS,2.438914027,1.032264367,2,2.384180791,1.4826,1,5,4,0.311144124,-0.429414989,0.069437616
SFST1,7.98959276,1.354766104,8.1,7.894915254,0,1,13,12,-0.45711321,11.40544932,0.09113143
SFST2,18.18099548,5.094007255,18,18.18644068,5.9304,3,30,27,-0.035364463,-0.299596161,0.342660009
SFST3,12.27149321,6.378839452,12,12.02259887,5.9304,0,30,30,0.397596999,-0.12022705,0.429087176
SFST4,20.38461538,5.876110221,21,20.6779661,5.9304,0,30,30,-0.445689269,-0.157629324,0.395269948
SFST5,17.1040724,7.248387386,16,16.77966102,5.9304,0,39,39,0.46697937,0.450100046,0.4875793
SFST6,26.4479638,4.910402494,28,27.36723164,2.9652,0,34,34,-2.055681908,5.38557187,0.330309417
SFST7,32.69230769,8.696675677,34,33.53107345,8.8956,0,45,45,-0.872470534,0.601300292,0.585001713